Column 1;Column 2 (V/s);Column 3 (V);Index;Time (s);Potential applied (V);WE(1).Current (A)
;;;5956;2518.09135764243;0.00885009765625;-0.00072418212890625
;;;5957;2518.12187564235;0.009002685546875;-0.000723876953125
;;;5958;2518.15239364228;0.0091552734375;-0.00072235107421875
;;;5959;2518.1829116422;0.009307861328125;-0.00071990966796875
;;;5960;2518.21342964212;0.00946044921875;-0.00071807861328125
;;;5961;2518.24394764205;0.009613037109375;-0.0007171630859375
;;;5962;2518.27446564197;0.009765625;-0.00071685791015625
;;;5963;2518.30498364189;0.009918212890625;-0.0007147216796875
;;;5964;2518.33550164181;0.01007080078125;-0.00071197509765625
;;;5965;2518.36601964174;0.010223388671875;-0.0007098388671875
;;;5966;2518.39653764166;0.0103759765625;-0.000709228515625
;;;5967;2518.42705564158;0.010528564453125;-0.000709228515625
;;;5968;2518.45757364151;0.01068115234375;-0.0007086181640625
;;;5969;2518.48809164143;0.010833740234375;-0.000706787109375
;;;5970;2518.51860964135;0.010986328125;-0.000704345703125
;;;5971;2518.54912764127;0.011138916015625;-0.0007025146484375
;;;5972;2518.5796456412;0.01129150390625;-0.00070159912109375
;;;5973;2518.61016364112;0.011444091796875;-0.00070098876953125
;;;5974;2518.64068164104;0.0115966796875;-0.00069915771484375
;;;5975;2518.67119964097;0.011749267578125;-0.00069671630859375
;;;5976;2518.70171764089;0.01190185546875;-0.00069488525390625
;;;5977;2518.73223564081;0.012054443359375;-0.000693359375
;;;5978;2518.76275364074;0.01220703125;-0.0006927490234375
;;;5979;2518.79327164066;0.012359619140625;-0.00069244384765625
;;;5980;2518.82378964058;0.01251220703125;-0.00069091796875
;;;5981;2518.8543076405;0.012664794921875;-0.00068878173828125
;;;5982;2518.88482564043;0.0128173828125;-0.000687255859375
;;;5983;2518.91534364035;0.012969970703125;-0.00068634033203125
;;;5984;2518.94586164027;0.01312255859375;-0.0006854248046875
;;;5985;2518.9763796402;0.013275146484375;-0.00068389892578125
;;;5986;2519.00689764012;0.013427734375;-0.00068206787109375
;;;5987;2519.03741564004;0.013580322265625;-0.00068023681640625
;;;5988;2519.06793363996;0.01373291015625;-0.00067840576171875
;;;5989;2519.09845163989;0.013885498046875;-0.0006768798828125
;;;5990;2519.12896963981;0.0140380859375;-0.00067596435546875
;;;5991;2519.15948763973;0.014190673828125;-0.0006744384765625
;;;5992;2519.19000563966;0.01434326171875;-0.000672607421875
;;;5993;2519.22052363958;0.014495849609375;-0.00067108154296875
;;;5994;2519.2510416395;0.0146484375;-0.00066986083984375
;;;5995;2519.28155963943;0.014801025390625;-0.0006683349609375
;;;5996;2519.31207763935;0.01495361328125;-0.00066650390625
;;;5997;2519.34259563927;0.015106201171875;-0.000665283203125
;;;5998;2519.37311363919;0.0152587890625;-0.0006640625
;;;5999;2519.40363163912;0.015411376953125;-0.00066314697265625
;;;6000;2519.43414963904;0.01556396484375;-0.00066131591796875
;;;6001;2519.46466763896;0.015716552734375;-0.0006591796875
;;;6002;2519.49518563889;0.015869140625;-0.00065765380859375
;;;6003;2519.52570363881;0.016021728515625;-0.00065673828125
;;;6004;2519.55622163873;0.01617431640625;-0.000655517578125
;;;6005;2519.58673963865;0.016326904296875;-0.000654296875
;;;6006;2519.61725763858;0.0164794921875;-0.00065216064453125
;;;6007;2519.6477756385;0.016632080078125;-0.00064971923828125
;;;6008;2519.67829363842;0.01678466796875;-0.0006488037109375
;;;6009;2519.70881163835;0.016937255859375;-0.00064788818359375
;;;6010;2519.73932963827;0.01708984375;-0.00064727783203125
;;;6011;2519.76984763819;0.017242431640625;-0.00064544677734375
;;;6012;2519.80036563812;0.01739501953125;-0.00064300537109375
;;;6013;2519.83088363804;0.017547607421875;-0.000640869140625
;;;6014;2519.86140163796;0.0177001953125;-0.00063934326171875
;;;6015;2519.89191963788;0.017852783203125;-0.0006390380859375
;;;6016;2519.92243763781;0.01800537109375;-0.0006378173828125
;;;6017;2519.95295563773;0.018157958984375;-0.0006353759765625
;;;6018;2519.98347363765;0.018310546875;-0.0006329345703125
;;;6019;2520.01399163758;0.018463134765625;-0.000631103515625
;;;6020;2520.0445096375;0.01861572265625;-0.00063018798828125
;;;6021;2520.07502763742;0.018768310546875;-0.00062957763671875
;;;6022;2520.10554563735;0.0189208984375;-0.00062835693359375
;;;6023;2520.13606363727;0.019073486328125;-0.00062591552734375
;;;6024;2520.16658163719;0.01922607421875;-0.00062408447265625
;;;6025;2520.19709963711;0.019378662109375;-0.00062255859375
;;;6026;2520.22761763704;0.01953125;-0.00062164306640625
;;;6027;2520.25813563696;0.019683837890625;-0.0006201171875
;;;6028;2520.28865363688;0.01983642578125;-0.00061859130859375
;;;6029;2520.31917163681;0.019989013671875;-0.000616455078125
;;;6030;2520.34968963673;0.0201416015625;-0.00061431884765625
;;;6031;2520.38020763665;0.020294189453125;-0.00061309814453125
;;;6032;2520.41072563657;0.02044677734375;-0.00061248779296875
;;;6033;2520.4412436365;0.020599365234375;-0.00061126708984375
;;;6034;2520.47176163642;0.020751953125;-0.000609130859375
;;;6035;2520.50227963634;0.020904541015625;-0.000606689453125
;;;6036;2520.53279763627;0.02105712890625;-0.00060455322265625
;;;6037;2520.56331563619;0.021209716796875;-0.00060302734375
;;;6038;2520.59383363611;0.0213623046875;-0.00060211181640625
;;;6039;2520.62435163604;0.021514892578125;-0.00060028076171875
;;;6040;2520.65486963596;0.02166748046875;-0.00059844970703125
;;;6041;2520.68538763588;0.021820068359375;-0.00059661865234375
;;;6042;2520.7159056358;0.02197265625;-0.00059539794921875
;;;6043;2520.74642363573;0.022125244140625;-0.00059417724609375
;;;6044;2520.77694163565;0.02227783203125;-0.00059234619140625
;;;6045;2520.80745963557;0.022430419921875;-0.00059051513671875
;;;6046;2520.8379776355;0.0225830078125;-0.0005889892578125
;;;6047;2520.86849563542;0.022735595703125;-0.00058746337890625
;;;6048;2520.89901363534;0.02288818359375;-0.00058563232421875
;;;6049;2520.92953163526;0.023040771484375;-0.00058380126953125
;;;6050;2520.96004963519;0.023193359375;-0.000582275390625
;;;6051;2520.99056763511;0.023345947265625;-0.0005810546875
;;;6052;2521.02108563503;0.02349853515625;-0.00057952880859375
;;;6053;2521.05160363496;0.023651123046875;-0.0005780029296875
;;;6054;2521.08212163488;0.0238037109375;-0.00057586669921875
;;;6055;2521.1126396348;0.023956298828125;-0.00057373046875
;;;6056;2521.14315763473;0.02410888671875;-0.00057220458984375
;;;6057;2521.17367563465;0.024261474609375;-0.0005706787109375
;;;6058;2521.20419363457;0.0244140625;-0.0005694580078125
;;;6059;2521.23471163449;0.024566650390625;-0.00056732177734375
;;;6060;2521.26522963442;0.02471923828125;-0.00056488037109375
;;;6061;2521.29574763434;0.024871826171875;-0.000562744140625
;;;6062;2521.32626563426;0.0250244140625;-0.00056182861328125
;;;6063;2521.35678363419;0.025177001953125;-0.0005609130859375
;;;6064;2521.38730163411;0.02532958984375;-0.0005596923828125
;;;6065;2521.41781963403;0.025482177734375;-0.00055755615234375
;;;6066;2521.44833763395;0.025634765625;-0.000555419921875
;;;6067;2521.47885563388;0.025787353515625;-0.00055389404296875
;;;6068;2521.5093736338;0.02593994140625;-0.000552978515625
;;;6069;2521.53989163372;0.026092529296875;-0.0005517578125
;;;6070;2521.57040963365;0.0262451171875;-0.00054962158203125
;;;6071;2521.60092763357;0.026397705078125;-0.000546875
;;;6072;2521.63144563349;0.02655029296875;-0.00054473876953125
;;;6073;2521.66196363342;0.026702880859375;-0.00054351806640625
;;;6074;2521.69248163334;0.02685546875;-0.0005426025390625
;;;6075;2521.72299963326;0.027008056640625;-0.00054107666015625
;;;6076;2521.75351763318;0.02716064453125;-0.0005389404296875
;;;6077;2521.78403563311;0.027313232421875;-0.000535888671875
;;;6078;2521.81455363303;0.0274658203125;-0.00053436279296875
