Column 1;Column 2 (V/s);Column 3 (V);Index;Time (s);Potential applied (V);WE(1).Current (A)
;;;6196;6917.27788853555;0.04547119140625;-0.000285430908203125
;;;6197;6917.30840653548;0.045623779296875;-0.00028509521484375
;;;6198;6917.3389245354;0.0457763671875;-0.0002843017578125
;;;6199;6917.36944253532;0.045928955078125;-0.000282806396484375
;;;6200;6917.39996053524;0.04608154296875;-0.000281219482421875
;;;6201;6917.43047853517;0.046234130859375;-0.00027886962890625
;;;6202;6917.46099653509;0.04638671875;-0.00027764892578125
;;;6203;6917.49151453501;0.046539306640625;-0.000276519775390625
;;;6204;6917.52203253494;0.04669189453125;-0.000275604248046875
;;;6205;6917.55255053486;0.046844482421875;-0.000274749755859375
;;;6206;6917.58306853478;0.0469970703125;-0.0002723388671875
;;;6207;6917.6135865347;0.047149658203125;-0.0002706298828125
;;;6208;6917.64410453463;0.04730224609375;-0.0002689208984375
;;;6209;6917.67462253455;0.047454833984375;-0.000268310546875
;;;6210;6917.70514053447;0.047607421875;-0.000267578125
;;;6211;6917.7356585344;0.047760009765625;-0.00026580810546875
;;;6212;6917.76617653432;0.04791259765625;-0.000264312744140625
;;;6213;6917.79669453424;0.048065185546875;-0.000262298583984375
;;;6214;6917.82721253417;0.0482177734375;-0.0002608642578125
;;;6215;6917.85773053409;0.048370361328125;-0.000260223388671875
;;;6216;6917.88824853401;0.04852294921875;-0.000259002685546875
;;;6217;6917.91876653393;0.048675537109375;-0.000258056640625
;;;6218;6917.94928453386;0.048828125;-0.000255859375
;;;6219;6917.97980253378;0.048980712890625;-0.00025421142578125
;;;6220;6918.0103205337;0.04913330078125;-0.000252838134765625
;;;6221;6918.04083853363;0.049285888671875;-0.0002518310546875
;;;6222;6918.07135653355;0.0494384765625;-0.000251251220703125
;;;6223;6918.10187453347;0.049591064453125;-0.000249420166015625
;;;6224;6918.13239253339;0.04974365234375;-0.0002476806640625
;;;6225;6918.16291053332;0.049896240234375;-0.00024603271484375
;;;6226;6918.19342853324;0.050048828125;-0.00024462890625
;;;6227;6918.22394653316;0.050201416015625;-0.000244049072265625
;;;6228;6918.25446453309;0.05035400390625;-0.00024273681640625
;;;6229;6918.28498253301;0.050506591796875;-0.00024163818359375
;;;6230;6918.31550053293;0.0506591796875;-0.00023968505859375
;;;6231;6918.34601853285;0.050811767578125;-0.00023785400390625
;;;6232;6918.37653653278;0.05096435546875;-0.000236785888671875
;;;6233;6918.4070545327;0.051116943359375;-0.00023583984375
;;;6234;6918.43757253262;0.05126953125;-0.000235076904296875
;;;6235;6918.46809053255;0.051422119140625;-0.000233551025390625
;;;6236;6918.49860853247;0.05157470703125;-0.00023138427734375
;;;6237;6918.52912653239;0.051727294921875;-0.000230072021484375
;;;6238;6918.55964453232;0.0518798828125;-0.00022869873046875
;;;6239;6918.59016253224;0.052032470703125;-0.00022808837890625
;;;6240;6918.62068053216;0.05218505859375;-0.00022698974609375
;;;6241;6918.65119853208;0.052337646484375;-0.0002252197265625
;;;6242;6918.68171653201;0.052490234375;-0.000223663330078125
